code,latitude,longitude,N,size,N_min,N_max
ABQHOLD,35.052,-106.627,11.667,3.5,3.71,11.667
ADACOID,43.607,-116.27,0.0,2.0,1.097,10.194
ADAMSWA,47.127,-118.383,0.0,2.0,0.065,0.833
ADDCOVT,44.012,-73.164,0.233,2.0,0.032,0.567
AGC,18.43,-67.154,26.267,3.5,13.968,48.387
AIRHOPR,18.44,-65.999,0.0,2.0,0.067,0.097
AKCOOKI,61.218,-149.858,0.0,2.0,0.065,0.133
AKFAIRB,64.833,-147.759,0.033,2.0,0.033,0.968
AKHIGHL,61.303,-149.579,0.1,2.0,0.032,3.857
AKLEMON,58.363,-134.484,0.0,2.0,0.032,0.3
AKMATSU,61.602,-149.109,0.0,2.0,0.129,0.129
AKWILPT,60.584,-151.3,0.0,2.0,0.065,0.065
ALAMCNC,36.068,-79.404,59.267,3.5,57.258,89.067
ALBCONY,42.751,-73.816,4.2,2.0,1.6,18.032
ALEXAVA,38.798,-77.065,0.0,2.0,0.065,0.2
ALHAMCA,34.092,-118.127,0.0,2.0,12.467,25.964
ALLEGNY,42.213,-78.017,7.667,2.0,4.968,23.677
ALLEGPA,40.435,-79.994,12.567,3.5,6.71,16.484
ANCHOAK,61.219,-149.857,3.433,2.0,1.613,6.516
ANJUVMN,45.181,-93.124,0.067,2.0,0.067,0.067
APACHAZ,34.502,-109.365,0.0,2.0,0.143,0.806
ARLCOVA,38.891,-77.083,32.2,3.5,0.871,52.29
AROOSME,46.125,-67.839,0.0,2.0,0.067,0.333
ATLANGA,33.763,-84.387,214.3,6.0,162.613,214.3
ATLHOLD,33.753,-84.394,29.0,3.5,26.71,33.6
AZDCTUC,32.066,-110.861,0.0,2.0,0.033,0.033
BALHOLD,39.255,-76.681,9.0,2.0,8.0,13.367
BANNOID,42.825,-112.389,0.0,2.0,0.133,5.065
BASILLA,30.487,-92.582,561.0,9.0,315.1,561.0
BEDCITX,32.842,-97.131,4.1,2.0,3.4,44.367
BEDFOOH,41.406,-81.498,12.733,3.5,12.733,27.097
BEDFOPA,40.017,-78.506,0.0,2.0,0.226,0.323
BEFAMPA,40.38,-76.016,81.633,3.5,63.321,83.226
BENTOWA,46.222,-119.219,9.5,2.0,3.75,12.516
BERGENJ,40.874,-74.039,122.867,6.0,104.774,142.7
BERKSPA,40.385,-76.02,20.6,3.5,18.0,32.806
BERNANM,35.09,-106.651,0.033,2.0,0.032,0.267
BESECPA,40.382,-76.017,1.633,2.0,1.633,7.032
BHCALCA,34.089,-118.074,0.0,2.0,0.484,3.645
BIGHOMT,45.35,-107.272,0.133,2.0,0.032,0.2
BIGHOWY,44.382,-108.039,0.0,2.0,0.033,0.033
BKLHOLD,35.374,-119.011,16.1,3.5,8.839,16.1
BLOUNTN,35.755,-83.959,0.0,2.0,1.643,4.733
BOEHOLD,31.806,-106.371,1.0,2.0,1.0,1.0
BONNEID,43.495,-112.041,0.0,2.0,0.097,0.871
BOONEKY,39.037,-84.728,91.3,3.5,33.3,92.097
BOPALM,41.127,-76.922,2.0,2.0,2.0,2.0
BOPCUM,39.597,-78.754,1.0,2.0,1.0,1.0
BOPGUA,38.795,-106.535,41.9,3.5,32.133,72.133
BOPHON,21.334,-157.928,59.333,3.5,48.355,70.871
BOPLOF,34.677,-120.498,0.033,2.0,0.033,0.033
BOPLOS,34.054,-118.24,0.0,2.0,0.032,0.032
BOPMAR,37.663,-88.984,1.0,2.0,1.0,1.0
BOPMEM,35.156,-89.867,1.0,2.0,1.0,1.0
BOPMIM,25.778,-80.193,0.0,2.0,0.065,0.065
BOPOAD,30.832,-92.637,526.5,9.0,466.194,744.821
BOPRAE,32.054,-82.877,0.0,2.0,0.032,0.033
BOPRCH,44.024,-92.436,1.0,2.0,1.0,2.0
BOPSPG,37.177,-93.325,6.0,2.0,5.29,6.967
BOPTHA,39.408,-87.455,2.0,2.0,2.0,2.065
BOSHOLD,42.483,-71.209,0.1,2.0,0.1,0.1
BOTTIND,48.828,-100.45,0.133,2.0,0.071,0.933
BOWCOTX,33.421,-94.043,0.0,2.0,0.194,0.194
BPC,42.368,-71.052,0.1,2.0,0.1,1.806
BRADEFL,27.495,-82.573,0.3,2.0,0.3,1.0
BRINDMA,41.666,-70.996,219.133,6.0,128.258,224.742
BROADMT,46.322,-111.515,0.0,2.0,0.097,0.107
BROCRFL,26.034,-80.42,0.0,2.0,0.067,0.067
BROKSTX,27.248,-98.127,0.0,2.0,0.179,0.179
BROMMNY,42.131,-75.914,0.1,2.0,0.033,0.548
BTV,43.02,-78.202,526.067,9.0,477.806,526.067
BUTLEKS,37.817,-96.862,3.0,2.0,0.226,9.968
BUTLEOH,39.388,-84.556,150.467,6.0,145.677,228.677
BWDGICA,34.063,-118.239,2.833,2.0,1.355,4.645
CAJUVMN,44.788,-93.593,0.067,2.0,0.065,0.194
CALDWMO,39.642,-94.047,32.633,3.5,30.194,60.433
CALHOMI,42.317,-85.176,215.467,6.0,164.452,218.8
CAMBRPA,40.484,-78.701,74.833,3.5,44.194,121.581
CAMCOWY,44.277,-105.512,0.0,2.0,0.065,0.2
CARBOWY,41.796,-107.223,0.0,2.0,0.033,0.903
CARJAMN,44.787,-93.593,40.633,3.5,25.033,45.387
CARROMD,39.572,-76.987,9.633,2.0,0.167,9.633
CASCAMT,47.432,-111.507,0.533,2.0,0.226,2.645
CASPCAL,33.163,-115.485,0.0,2.0,0.036,1.097
CASSCNE,41.012,-95.883,36.333,3.5,14.393,36.333
CATTANY,42.252,-78.8,0.433,2.0,0.065,0.433
CAYUGNY,42.98,-76.543,0.133,2.0,0.033,0.29
CBRRSNC,35.409,-80.578,1.8,2.0,1.8,1.8
CCADCAZ,33.044,-111.377,73.067,3.5,62.767,99.367
CCAFLAZ,33.043,-111.372,201.4,6.0,186.767,219.387
CCAHUTX,30.565,-97.419,137.067,6.0,137.067,429.29
CCASDCA,32.576,-116.915,679.733,9.0,672.355,691.742
CFREDVA,39.199,-78.144,0.0,2.0,0.968,0.968
CGRMCAZ,32.872,-111.74,0.1,2.0,0.1,0.1
CHACONY,42.255,-79.504,6.767,2.0,1.968,10.633
CHARLSC,32.845,-80.014,30.033,3.5,1.0,37.548
CHASEKS,38.368,-96.539,24.5,3.5,24.5,50.387
CHELAWA,47.422,-120.315,2.3,2.0,1.968,5.567
CHIPPMI,46.497,-84.346,34.933,3.5,21.129,38.419
CHRISMO,37.02,-93.205,15.733,3.5,13.419,31.7
CITRUFL,28.845,-82.477,0.0,2.0,0.032,0.032
CKHOSFL,25.731,-80.386,0.767,2.0,0.767,2.419
CLARIPA,41.238,-79.423,0.0,2.0,0.129,0.129
CLARKWA,45.63,-122.679,0.0,2.0,0.033,0.033
CLICONY,44.721,-73.467,5.5,2.0,3.452,25.806
CLINTPA,41.151,-77.35,82.733,3.5,66.0,178.645
CMPJVNY,42.913,-78.868,0.133,2.0,0.065,0.452
COBBJGA,33.908,-84.577,20.3,3.5,20.3,29.581
COCONAZ,35.187,-111.64,0.0,2.0,0.065,0.903
COLCASC,34.08,-80.977,39.433,3.5,26.548,39.433
COLLIFL,26.128,-81.765,27.8,3.5,14.355,29.75
COLOMNY,42.249,-73.756,0.0,2.0,0.071,0.071
COLUMOR,45.848,-122.819,19.667,3.5,9.032,24.581
COLUMPA,40.998,-76.45,36.1,3.5,0.161,38.29
COMFTFL,25.733,-80.383,0.0,2.0,0.071,1.097
CONEJCO,37.167,-106.0,2.433,2.0,1.355,3.0
CONVEWY,42.76,-105.381,0.0,2.0,0.033,0.233
COSTACA,33.652,-117.912,0.667,2.0,0.667,4.607
COWJVWA,46.141,-122.92,0.767,2.0,0.129,2.839
CSCNWWA,47.25,-122.422,1016.233,12.0,909.129,1018.484
CSYJVNY,43.097,-79.054,0.133,2.0,0.065,0.179
CTLAFSL,41.761,-72.683,1.1,2.0,1.033,4.742
CTYORCI,41.323,-72.237,10.4,3.5,0.2,14.867
CUMBEME,43.651,-70.282,50.0,3.5,24.633,50.0
CUSTEMT,46.408,-105.845,0.0,2.0,0.194,0.194
DALHOLD,32.824,-96.872,23.033,3.5,5.323,25.032
DAVIDTN,36.157,-86.772,22.667,3.5,22.667,62.29
DAWSOMT,47.105,-104.716,0.067,2.0,0.067,0.323
DEAPDMI,42.314,-83.2,14.867,3.5,8.357,14.867
DEKALAL,34.418,-85.773,57.433,3.5,7.903,57.433
DELTACO,38.74,-108.072,0.0,2.0,0.065,0.071
DENCICO,39.738,-104.991,0.0,2.0,0.065,2.032
DENHOLD,39.784,-104.849,27.067,3.5,21.968,30.774
DENICDF,39.761,-104.849,386.8,6.0,386.8,402.258
DENVECO,39.768,-104.864,3.467,2.0,1.677,4.935
DEPCOGU,13.45,144.803,25.733,3.5,25.071,42.226
DEPYOGU,13.466,144.801,0.0,2.0,0.032,1.0
DETHOLD,42.343,-83.01,0.033,2.0,0.033,0.2
DOCORNE,41.253,-95.938,119.533,6.0,98.286,154.581
DODGEWI,43.407,-88.706,158.667,6.0,127.967,182.194
DORCHMD,38.548,-76.059,27.867,3.5,24.0,36.387
DOUGLCO,39.367,-104.863,1.333,2.0,0.613,1.806
DOUGLOR,43.211,-123.341,0.0,2.0,0.067,0.194
DRURYCO,39.775,-104.846,0.033,2.0,0.032,0.321
DUTCHAK,53.871,-166.542,0.0,2.0,0.226,0.484
DUVALFL,30.326,-81.651,6.133,2.0,3.367,12.032
DVDHOLD,39.154,-75.488,2.133,2.0,1.032,2.677
EAZ,32.818,-111.52,1551.533,15.0,1484.387,1551.533
ECC,32.803,-115.569,519.933,9.0,460.613,519.933
ECOLOWA,47.479,-122.284,0.0,2.0,0.067,0.516
ECTORTX,31.821,-102.36,0.333,2.0,0.194,0.935
EDENDTX,31.217,-99.834,0.0,2.0,0.032,0.032
ELBERCO,39.342,-104.464,0.0,2.0,0.065,0.065
ELGPDIL,42.04,-88.284,2.133,2.0,0.548,5.067
ELMORID,43.137,-115.673,0.967,2.0,0.967,0.967
ELPASCO,38.788,-104.779,143.9,6.0,89.194,182.933
ELZICDF,40.666,-74.19,197.333,6.0,197.333,278.733
EMESACA,32.591,-116.918,0.067,2.0,0.067,0.067
EPC,31.794,-106.369,830.3,9.0,770.333,830.3
ERICONY,42.884,-78.879,0.0,2.0,0.133,0.581
ERICOPA,42.124,-80.067,7.3,2.0,7.3,13.774
ESSEXMA,42.597,-70.986,32.467,3.5,0.8,32.467
ESSEXNJ,40.721,-74.127,297.833,6.0,219.484,297.833
ESSEXNY,44.282,-73.536,0.0,2.0,0.032,0.067
ETOWAAL,34.017,-86.012,354.767,6.0,326.133,373.7
EULESTX,32.829,-97.102,24.533,3.5,10.067,41.355
FAICOVA,38.844,-77.309,0.0,2.0,0.067,0.067
FAULKAR,35.089,-92.444,0.0,2.0,0.645,4.645
FLATHMT,48.189,-114.311,0.0,2.0,0.129,0.133
FLO,33.064,-111.382,464.033,6.0,335.387,468.0
FORSYNC,36.097,-80.242,0.0,2.0,0.433,1.484
FRACOVT,44.811,-73.081,17.267,3.5,12.581,20.935
