code,latitude,longitude,N,size
ABQHOLD,35.053,-106.629,12.067,3.5
ADACOID,43.607,-116.27,0.033,2.0
ADAMSCO,39.987,-104.799,0.0,2.0
ADAMSWA,47.127,-118.383,0.2,2.0
ADDCOVT,44.012,-73.164,0.0,2.0
AGAHOLD,13.477,144.748,0.067,2.0
AGC,18.494,-67.142,0.0,2.0
AIRHOPR,18.44,-66.005,0.0,2.0
AKCOOKI,61.219,-149.871,0.433,2.0
AKFAIRB,64.835,-147.761,0.0,2.0
AKHIGHL,61.304,-149.58,0.3,2.0
AKKETCH,55.348,-131.65,0.133,2.0
AKLEMON,58.361,-134.488,0.0,2.0
AKMATSU,61.601,-149.119,0.0,2.0
AKMCYOU,61.188,-149.832,0.0,2.0
AKWILPT,60.583,-151.3,0.0,2.0
ALAMCNC,36.069,-79.402,55.1,3.5
ALBCONY,42.751,-73.815,3.567,2.0
ALEXAVA,38.799,-77.067,0.0,2.0
ALHAMCA,34.092,-118.127,4.167,2.0
ALLEGNY,42.212,-78.017,13.233,3.5
ALLEGPA,40.435,-79.994,13.267,3.5
ANCHOAK,61.218,-149.858,1.6,2.0
ANJUVMN,45.181,-93.122,0.0,2.0
APACHAZ,34.502,-109.364,0.0,2.0
ARLCOVA,38.891,-77.083,0.967,2.0
AROOSME,46.125,-67.838,0.467,2.0
ATLANGA,33.747,-84.395,198.133,6.0
ATLHOLD,33.753,-84.393,35.067,3.5
AURORCO,39.71,-104.79,0.0,2.0
AUSHOLD,30.27,-97.739,12.8,3.5
AZDCTUC,32.066,-110.859,0.0,2.0
BAKERFL,30.296,-82.122,181.833,6.0
BALHOLD,39.255,-76.681,9.8,2.0
BANNOID,42.839,-112.41,0.0,2.0
BARRECA,32.73,-116.695,0.0,2.0
BASILLA,30.487,-92.583,505.233,9.0
BEDCITX,32.841,-97.133,21.7,3.5
BEDFOOH,41.409,-81.497,56.0,3.5
BEDFOPA,40.008,-78.505,0.0,2.0
BEFAMPA,40.38,-76.02,60.367,3.5
BEJUVPA,40.383,-76.017,0.0,2.0
BENTOWA,46.221,-119.221,0.0,2.0
BERGENJ,40.874,-74.039,129.033,6.0
BERKSPA,40.383,-76.017,0.033,2.0
BERNANM,35.089,-106.651,0.0,2.0
BESECPA,40.383,-76.017,1.433,2.0
BHCALCA,34.077,-118.073,0.0,2.0
BIGHOMT,45.733,-107.609,0.1,2.0
BIGHOWY,44.383,-108.04,0.0,2.0
BKLHOLD,35.374,-119.011,20.233,3.5
BLOUNTN,35.75,-83.991,0.0,2.0
BOEHOLD,31.792,-106.403,1.0,2.0
BONNEID,43.495,-112.041,0.0,2.0
BOONEKY,39.037,-84.724,109.0,6.0
BOPALM,41.128,-76.922,0.0,2.0
BOPBUT,36.187,-78.741,0.0,2.0
BOPCAA,41.565,-75.42,0.0,2.0
BOPCUM,39.597,-78.754,0.0,2.0
BOPGUA,18.423,-66.112,48.4,3.5
BOPHON,21.333,-157.929,62.3,3.5
BOPLOF,34.677,-120.5,0.0,2.0
BOPLOS,34.054,-118.238,0.0,2.0
BOPMAR,37.663,-88.984,1.0,2.0
